,Name,Rating,Cuisine,Avg Rate,Area,Zone
604,Indian Kitchen By Shidori Delights,," Maharashtrian, North Indian",₹ 700 for 2 (approx) ,Dharampeth, West Nagpur
605,Euphoria Restaurant,," North Indian, Chinese, South Indian",₹ 600 for 2 (approx) ,Nandanvan, East Nagpur
606,The Dhaba Factory,," North Indian, Chinese, Desserts","₹ 1,100 for 2 (approx) ",Jaripatka, North Nagpur
607,Lafarine Patisserie,, Desserts,₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
608,Tadka Bhojanalay,, North Indian,₹ 500 for 2 (approx) ,Ayodhya Nagar, South Nagpur
609,Domino's Pizza,," Pizza, Fast Food",₹ 500 for 2 (approx) ,Lakadganj, East Nagpur
610,Goli Vada Pav,, Street Food,₹ 200 for 2 (approx) ,Bajaj Nagar, West Nagpur
611,Goli Vada Pav,, Street Food,₹ 200 for 2 (approx) ,Lakadganj, East Nagpur
612,Craving Windows,, Fast Food,₹ 400 for 2 (approx) ,Bajaj Nagar, West Nagpur
613,Burger Singh,," Burger, Fast Food, Beverages",₹ 800 for 2 (approx) ,Bajaj Nagar, West Nagpur
614,Cafe Mystic,," Fast Food, Italian",₹ 500 for 2 (approx) ,"Shraddhanad Peth Square,Bajaj Nagar", West Nagpur
615,Cafe Hood 11,, Fast Food,₹ 800 for 2 (approx) ,Dharampeth, West Nagpur
616,Durva Restaurant,," Chinese, North Indian, Fast Food",₹ 900 for 2 (approx) ,Dhantoli, West Nagpur
617,Panino The Sandwich World,, Fast Food,₹ 200 for 2 (approx) ,Dharampeth, West Nagpur
618,The Kathi Crossing,, Fast Food,₹ 300 for 2 (approx) ,Dharampeth, West Nagpur
619,Ambience Garden Restaurant,4," North Indian, Chinese, Continental",₹ 900 for 2 (approx) ,Ayodhya Nagar, South Nagpur
620,Hotel President Park,," North Indian, Chinese","₹ 1,500 for 2 (approx) ",Dharampeth, West Nagpur
621,Amazing Blazing Cakes,, Fast Food,₹ 400 for 2 (approx) ,Jaripatka, North Nagpur
622,Hotel Krishnum,," North Indian, South Indian, Fast Food",₹ 700 for 2 (approx) ,Vivekanand Nagar, South Nagpur
623,PP'S Garage Pub,," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Dharampeth, West Nagpur
624,The Belgian Waffle Co,, Desserts,₹ 400 for 2 (approx) ,"Vighnaharta Complex,Pratap Nagar", South Nagpur
625,Tandoor Studio by Outdoors,, Fast Food,₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
626,Variety Foods,, North Indian,₹ 500 for 2 (approx) ,Vivekanand Nagar, South Nagpur
627,Family Foods,, North Indian,₹ 200 for 2 (approx) ,Vivekanand Nagar, South Nagpur
628,Rajesh Samosa,," Fast Food, North Indian",₹ 300 for 2 (approx) ,Vivekanand Nagar, South Nagpur
629,KFC,," Burger, Fast Food",₹ 600 for 2 (approx) ,Bajaj Nagar, West Nagpur
630,Baba Taj Biryani And Barbeque,, Biryani,₹ 500 for 2 (approx) ,Ayodhya Nagar, South Nagpur
631,Foody Moody Restaurants,," Chinese, North Indian",₹ 600 for 2 (approx) ,Nandanvan, East Nagpur
632,Tauby's,, Desserts,₹ 500 for 2 (approx) ,Vivekanand Nagar, South Nagpur
633,Grand Kashmir Family Restaurant,," Chinese, North Indian, Mughlai",₹ 900 for 2 (approx) ,pachpaoli, East Nagpur
634,Hotel Al-Zam Zam,," North Indian, Chinese, Mughlai","₹ 1,000 for 2 (approx) ",Vivekanand Nagar, South Nagpur
635,Curry House,," Chinese, North Indian, Fast Food",₹ 600 for 2 (approx) ,Pratap Nagar, South Nagpur
636,Domino's Pizza,," Pizza, Fast Food",₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
637,Haldiram's Express,5," North Indian, Continental, South Indian, Chinese, Desserts",₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
638,Patiala House,3," Mughlai, North Indian","₹ 1,200 for 2 (approx) ","Urban Hermitage,Wardha Road", South Nagpur
639,Foody Moody,," North Indian, Chinese",₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
640,Metro Biryani Corner,, Biryani,₹ 400 for 2 (approx) ,Manish Nagar, South Nagpur
641,DJ Hard Rock,," Chinese, North Indian","₹ 1,200 for 2 (approx) ",Jaripatka, North Nagpur
642,Nimje Saoji Restaurant,," Chinese, North Indian",₹ 500 for 2 (approx) ,Wardha Road, South Nagpur
643,Aura Cafe And Lounge,, Fast Food,₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
644,Waghmare Saoji,," North Indian, Maharashtrian",₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
645,Goli Vada Pav,, Street Food,₹ 200 for 2 (approx) ,Pratap Nagar, South Nagpur
646,Enfield Cafe,, Fast Food,₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
647,The Punjabi Grill,, North Indian,₹ 900 for 2 (approx) ,Wardha Road, South Nagpur
648,Rolls Mania,, Fast Food,₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
649,Cream Bell,, Desserts,₹ 200 for 2 (approx) ,Ayodhya Nagar, South Nagpur
650,Cafe Emoji,, Fast Food,₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
651,Joyo Cake,, Desserts,₹ 800 for 2 (approx) ,Nandanvan, East Nagpur
652,Varhadi Vyanjan,," North Indian, Maharashtrian",₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
653,D'Arabian Cafe,, Fast Food,₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
654,Matichi Handi,, North Indian,₹ 800 for 2 (approx) ,Pratap Nagar, South Nagpur
655,Al Hamd Restaurant,," Chinese, North Indian, Biryani",₹ 900 for 2 (approx) ,Mankapur, North Nagpur
656,The Sandwich Store,, Fast Food,₹ 400 for 2 (approx) ,Ayodhya Nagar, South Nagpur
657,Singh's BarbeQ And Currys,, North Indian,₹ 800 for 2 (approx) ,Wardhaman Nagar, East Nagpur
658,The Kathi Crossing,, Fast Food,₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
659,Pizza Hut - 2252,," Pizza, Fast Food",₹ 800 for 2 (approx) ,Wardhaman Nagar, East Nagpur
660,Hotel Al Khabir,," Biryani, North Indian",₹ 500 for 2 (approx) ,Gittikhadan, North Nagpur
661,Manu's Missal Co,, Fast Food,₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
662,Magic Food Court,," Chinese, Fast Food, North Indian","₹ 1,000 for 2 (approx) ",Jaripatka, North Nagpur
663,Cream Bell,, Desserts,₹ 200 for 2 (approx) ,Pratap Nagar, South Nagpur
664,Spanish Multicuisine Restaurant,," Chinese, North Indian","₹ 1,000 for 2 (approx) ",Jaripatka, North Nagpur
665,TCK Restaurant,," Continental, North Indian","₹ 2,200 for 2 (approx) ","Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
666,The Indian Grill,," Chinese, North Indian",₹ 900 for 2 (approx) ,Jaripatka, North Nagpur
667,Sagar,," Chinese, North Indian",₹ 600 for 2 (approx) ,Jaripatka, North Nagpur
668,Domino's Pizza,," Pizza, Fast Food",₹ 500 for 2 (approx) ,"Poonam Mall,Wardhaman Nagar", East Nagpur
669,Cafe Illusions,," Pizza, Burger, Fast Food","₹ 1,200 for 2 (approx) ",Pratap Nagar, South Nagpur
670,Panino The Sandwich World,, Fast Food,₹ 200 for 2 (approx) ,Wardhaman Nagar, East Nagpur
671,Amber Restaurant & Bar,, North Indian,"₹ 1,000 for 2 (approx) ",Pratap Nagar, South Nagpur
672,Raj Bhandar,, Street Food,₹ 200 for 2 (approx) ,Pratap Nagar, South Nagpur
673,Short Order,," Chinese, North Indian, Fast Food",₹ 600 for 2 (approx) ,Wardhaman Nagar, East Nagpur
674,Kitchen Glory,, North Indian,₹ 600 for 2 (approx) ,Wardha Road, South Nagpur
675,Cream Bell,, Desserts,₹ 200 for 2 (approx) ,Gittikhadan, North Nagpur
676,Mock Drills,, North Indian,₹ 400 for 2 (approx) ,Manish Nagar, South Nagpur
677,Iora Restaurant,," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Wardhaman Nagar, East Nagpur
678,Paradise Restaurant,, North Indian,₹ 300 for 2 (approx) ,Ayodhya Nagar, South Nagpur
679,Patiala Foods And Family Restaurants,, North Indian,₹ 400 for 2 (approx) ,Jaripatka, North Nagpur
680,Domino's Pizza,," Pizza, Italian",₹ 500 for 2 (approx) ,"Pioneers Sunshine,Gittikhadan", North Nagpur
681,Tibb's Frankie,, Fast Food,₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
682,The Cook-Do,, North Indian,₹ 600 for 2 (approx) ,Gittikhadan, North Nagpur
683,Cafe Coffee Day,," Beverages, Fast Food",₹ 800 for 2 (approx) ,Pratap Nagar, South Nagpur
684,Bonfire 69 family Garden Restaurant,, North Indian,₹ 700 for 2 (approx) ,Manish Nagar, South Nagpur
685,Magic Hands Kitchen,," Maharashtrian, North Indian",₹ 500 for 2 (approx) ,Ayodhya Nagar, South Nagpur
686,Rock N Roll,," Fast Food, Lebanese",₹ 200 for 2 (approx) ,Sadar, West Nagpur
687,Cafe Coffee Day,," Beverages, Fast Food",₹ 800 for 2 (approx) ,Wardha Road, South Nagpur
688,Shawarmaasta,, Fast Food,₹ 400 for 2 (approx) ,Manish Nagar, South Nagpur
689,Tauby's,, Desserts,₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
690,Five Fingers Magic,," Fast Food, North Indian, Chinese",₹ 300 for 2 (approx) ,Bajaj Nagar, West Nagpur
691,Kartare Da Dhaba,, North Indian,₹ 400 for 2 (approx) ,Jaripatka, North Nagpur
692,Mamma Mia Restro,," Fast Food, Street Food",₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
693,Only 4 You Cafe And Restro,, Fast Food,₹ 400 for 2 (approx) ,Ayodhya Nagar, South Nagpur
694,Mehfil Chinese Cuisine,, Chinese,₹ 300 for 2 (approx) ,Wardha Road, South Nagpur
695,Indian Restro,, Fast Food,₹ 300 for 2 (approx) ,Bajaj Nagar, West Nagpur
696,Biryani Darbar,, Biryani,₹ 400 for 2 (approx) ,Hingna T Point, South Nagpur
697,Mr.Brownie,," Chinese, Fast Food",₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
698,Ugemuge Hotel,, North Indian,₹ 300 for 2 (approx) ,Dhantoli, West Nagpur
699,Bhagwati Foods & Namkeen,, North Indian,₹ 400 for 2 (approx) ,Ayodhya Nagar, South Nagpur
700,Republic Of Food,, Fast Food,₹ 600 for 2 (approx) ,Gayatri Nagar, South Nagpur
701,Biryani House,," North Indian, Biryani",₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
702,Chicago Pizza,," Pizza, Italian",₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
703,Glam Chilli,, Chinese,₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
704,Fastfood Galaxy,, Fast Food,₹ 200 for 2 (approx) ,Vivekanand Nagar, South Nagpur
705,Bachlor Nawabi Thali,, North Indian,₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
706,Shree Balaji Family Restaurant,, North Indian,₹ 600 for 2 (approx) ,Ayodhya Nagar, South Nagpur
707,Paras Saoji,, North Indian,₹ 700 for 2 (approx) ,Dhantoli, West Nagpur
708,Mumbai Vada Pav,," Fast Food, Street Food",₹ 300 for 2 (approx) ,Gandhibagh, East Nagpur
709,Haldiram's Planet Food,," North Indian, South Indian, Fast Food, Street Food",₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
710,Haldiram's,," North Indian, Continental, South Indian, Chinese, Desserts",₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
711,Taste of Punjab,," North Indian, Mughlai, Chinese",₹ 900 for 2 (approx) ,Pratap Nagar, South Nagpur
712,New Lucky Hotel,," North Indian, Biryani",₹ 500 for 2 (approx) ,Mankapur, North Nagpur
713,Bouffage,," Continental, North Indian, Chinese, Fast Food, Italian, Mughlai, Seafood","₹ 1,200 for 2 (approx) ",Wardha Road, South Nagpur
714,Vyanjan Restaurant,, North Indian,₹ 800 for 2 (approx) ,Manish Nagar, South Nagpur
715,Yello,," Fast Food, Chinese",₹ 700 for 2 (approx) ,Pratap Nagar, South Nagpur
716,Luveat Food Plaza,," Chinese, North Indian",₹ 400 for 2 (approx) ,Manish Nagar, South Nagpur
717,Cocina n Caffena,," Fast Food, North Indian, Italian",₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
718,Crazy Cheesy Cafe,," Fast Food, Pizza",₹ 300 for 2 (approx) ,Ayodhya Nagar, South Nagpur
719,Underground Family Restaurant,," Chinese, North Indian",₹ 700 for 2 (approx) ,Manish Nagar, South Nagpur
720,Cafe Durga,," Fast Food, Chinese, South Indian",₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
721,Pk Saoji,," Maharashtrian, North Indian",₹ 300 for 2 (approx) ,Manish Nagar, South Nagpur
722,Maa Ki Rasoi,, North Indian,₹ 400 for 2 (approx) ,Wardha Road, South Nagpur
723,Pokket Cafe,, Fast Food,₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
724,Panino The Sandwich World,, Fast Food,₹ 200 for 2 (approx) ,"Ghanshyam Laxmi Apartment,Manish Nagar", South Nagpur
725,The Den,," Chinese, North Indian",₹ 800 for 2 (approx) ,Pratap Nagar, South Nagpur
726,Dahiya Momos,," Fast Food, Tibetan",₹ 300 for 2 (approx) ,"Mangalmurti Complex,Pratap Nagar", South Nagpur
727,Dahiya Momos,," Fast Food, Tibetan",₹ 300 for 2 (approx) ,Manish Nagar, South Nagpur
728,24×7 Kitchen,, North Indian,₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
729,Make My Cake,,,₹ 400 for 2 (approx),Pratap Nagar, South Nagpur
730,Candle Light,," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Pratap Nagar, South Nagpur
731,Fusion Cafe & Outlet,," Continental, Fast Food",₹ 400 for 2 (approx) ,Manish Nagar, South Nagpur
732,PB'S Kitchen,, North Indian,₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
733,Firestone Kitchen,, North Indian,₹ 300 for 2 (approx) ,Wardha Road, South Nagpur
734,Nawabi Rasoi,," Biryani, North Indian",₹ 400 for 2 (approx) ,Jaripatka, North Nagpur
735,Baskin Robbins,, Desserts,₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
736,C To 7 The Ware House Cafe,, Fast Food,₹ 200 for 2 (approx) ,Hingna T Point, South Nagpur
737,Mohit Saoji,, Maharashtrian,₹ 500 for 2 (approx) ,Ayodhya Nagar, South Nagpur
738,U And Me Cafe,, Fast Food,₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
739,Shri Hari Krishna Restaurant,," Maharashtrian, North Indian",₹ 400 for 2 (approx) ,Manish Nagar, South Nagpur
740,Pintu Saoji Restaurant,," Mughlai, North Indian, Maharashtrian",₹ 700 for 2 (approx) ,Pratap Nagar, South Nagpur
741,Light House Cafe,, Fast Food,₹ 600 for 2 (approx) ,Wardhaman Nagar, East Nagpur
742,Biryani Maniya,, Biryani,₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
743,Cluckers Fried Chicken Restaurant,," Burger, Fast Food",₹ 400 for 2 (approx) ,Manish Nagar, South Nagpur
744,Goli Vada Pav,, Street Food,₹ 200 for 2 (approx) ,Manish Nagar, South Nagpur
745,Hungers House Cafe & Resto,, Fast Food,₹ 700 for 2 (approx) ,Manish Nagar, South Nagpur
746,Swad Sadan,, North Indian,₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
747,Khatika's Vyanjan,," North Indian, Continental",₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
748,39 Heights,," North Indian, Chinese",₹ 800 for 2 (approx) ,Manish Nagar, South Nagpur
749,Nagpur Darbar,," North Indian, Mughlai",₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
750,Jay Veeru Ki Rasoi,, North Indian,₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
751,Cafe Eternia,," Fast Food, Pizza, Chinese",₹ 300 for 2 (approx) ,Manish Nagar, South Nagpur
752,Sandwich King,, Fast Food,₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
753,Babbu's Celebrations,," North Indian, Chinese",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
754,Larokar Rasoi,, North Indian,₹ 600 for 2 (approx) ,Hingna T Point, South Nagpur
755,Domino's Pizza,, Fast Food,₹ 500 for 2 (approx) ,Koradi Road, North Nagpur
756,Renu Restaurant And Mess,," North Indian, Desserts",₹ 300 for 2 (approx) ,Hingna T Point, South Nagpur
757,Fuel Station,," Chinese, Fast Food","₹ 1,000 for 2 (approx) ",Hingna T Point, South Nagpur
758,Apna Desi Chulha,, North Indian,₹ 500 for 2 (approx) ,Mankapur, North Nagpur
759,V The Indian Cuisine,," North Indian, Chinese","₹ 1,400 for 2 (approx) ",Wardha Road, South Nagpur
760,Haldiram's,," North Indian, Continental, South Indian, Chinese, Desserts",₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
761,The Majestic Manor,," North Indian, Chinese",₹ 900 for 2 (approx) ,Wardha Road, South Nagpur
762,Vegg-The Foody House,, North Indian,₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
763,Kutumb Bhojanalya,," North Indian, Maharashtrian",₹ 400 for 2 (approx) ,Hingna T Point, South Nagpur
764,Blues Ale House,," North Indian, Chinese","₹ 1,500 for 2 (approx) ",Wardha Road, South Nagpur
765,Via China,," North Indian, Chinese, Seafood","₹ 1,300 for 2 (approx) ",Wardha Road, South Nagpur
766,Glisten Family Restaurant,," Mughlai, North Indian, Chinese, Continental","₹ 1,300 for 2 (approx) ",Vayu Sena, West Nagpur
767,Advait Saoji And Family Garden Restaurant,, North Indian,₹ 600 for 2 (approx) ,Manish Nagar, South Nagpur
768,The Second Crush,, Fast Food,₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
769,Puran Da Dhaba,," North Indian, Mughlai, Street Food, Fast Food, Desserts, Beverages","₹ 1,000 for 2 (approx) ","The Pride Hotel,Wardha Road", South Nagpur
770,Cafe Zero Mile,," Italian, Fast Food",₹ 400 for 2 (approx) ,Wardha Road, South Nagpur
771,Beyonds,," North Indian, Chinese","₹ 1,100 for 2 (approx) ","Urban Hermitage,Wardha Road", South Nagpur
772,Nirvana Multicuisine Restaurant,," North Indian, Chinese",₹ 900 for 2 (approx) ,Vayu Sena, West Nagpur
773,Creamy Cakes,,,₹ 400 for 2 (approx),Ayodhya Nagar, South Nagpur
774,Babbu's Hotel,," North Indian, Mughlai, Chinese",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
775,Eden Garden Restaurant,," North Indian, Chinese",₹ 800 for 2 (approx) ,Mankapur, North Nagpur
776,The Food Garage,3," Chinese, North Indian",₹ 500 for 2 (approx) ,Mihan, North Nagpur
777,The Casino - Restro N Lounge,," Chinese, Continental, North Indian","₹ 1,200 for 2 (approx) ",Kamptee, North Nagpur
778,Capital Coffee,,,₹ 400 for 2 (approx),Hingna T Point, South Nagpur
779,Cream Bell,, Desserts,₹ 200 for 2 (approx) ,pachpaoli, East Nagpur
780,Panino The Sandwich World,, Fast Food,₹ 200 for 2 (approx) ,Hingna T Point, South Nagpur
781,Domino's Pizza,," Pizza, Fast Food",₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
782,Cake's Inn,, Desserts,₹ 300 for 2 (approx) ,Hingna T Point, South Nagpur
783,Elisha's All Day Cafe,," Fast Food, North Indian",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
784,Hotel City Line,5," Chinese, North Indian","₹ 1,000 for 2 (approx) ",Gittikhadan, North Nagpur
785,Hotel Heritage Embassy,," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Hingna T Point, South Nagpur
786,Nature's Garden Restaurant,," North Indian, Chinese","₹ 1,100 for 2 (approx) ",Ayodhya Nagar, South Nagpur
787,Pawan Bhojanalay,, North Indian,₹ 700 for 2 (approx) ,Hingna T Point, South Nagpur
788,Roof Garden,," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Wardha Road, South Nagpur
789,Rahul Restaurant,," Chinese, North Indian",₹ 500 for 2 (approx) ,Wadi, West Nagpur
790,Pizza Hut - 2254,," Pizza, Fast Food",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
791,Foody Moody Restaurants,," Chinese, North Indian",₹ 600 for 2 (approx) ,Hingna T Point, South Nagpur
792,Sindh Punjab Tadka,," North Indian, Biryani",₹ 800 for 2 (approx) ,Ramdaspeth, West Nagpur
793,Singh Saab,4.8," Chinese, North Indian","₹ 1,100 for 2 (approx) ",pachpaoli, East Nagpur
794,Punjabi Tadka,," Chinese, North Indian",₹ 900 for 2 (approx) ,Kamptee, North Nagpur
795,Soni's Cafe & Restaurant,," North Indian, South Indian",₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
796,Rang,," Chinese, Continental, North Indian, Italian",₹ 700 for 2 (approx) ,Mihan, North Nagpur
797,Happy Returns Cake,,,₹ 800 for 2 (approx),Nandanvan, East Nagpur
798,Royal Garden,," Chinese, Fast Food, North Indian",₹ 800 for 2 (approx) ,Wadi, West Nagpur
799,Food Nation,, North Indian,₹ 500 for 2 (approx) ,Kamptee, North Nagpur
800,Rang De Basanti,," Chinese, North Indian, Mughlai, Seafood",₹ 800 for 2 (approx) ,Wardha Road, South Nagpur
801,Patola. Happy Fooding,," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Mihan, North Nagpur
802,Kairos Restro,4.5," Chinese, North Indian","₹ 1,000 for 2 (approx) ",Vayu Sena, West Nagpur
803,Chokar Dhani,5, North Indian,₹ 600 for 2 (approx) ,Vayu Sena, West Nagpur
804,GrandIsle Restaurant,," North Indian, Chinese",₹ 800 for 2 (approx) ,Vayu Sena, West Nagpur
805,Kasbaa Hill Restaurant,3.7," Chinese, North Indian, Continental, Italian","₹ 1,000 for 2 (approx) ",Vayu Sena, West Nagpur
806,Flaming Work,," Chinese, Continental, North Indian","₹ 1,000 for 2 (approx) ",Wardha Road, South Nagpur
807,Under The Moon,4," Chinese, Continental, North Indian",₹ 700 for 2 (approx) ,Gittikhadan, North Nagpur
808,Iora Palms Restaurant,," Chinese, North Indian, Continental",₹ 900 for 2 (approx) ,Wardha Road, South Nagpur
809,Hotel Royal Regency,," North Indian, Chinese",₹ 600 for 2 (approx) ,Wardha Road, South Nagpur
810,DYN Arts & Bakes,,,₹ 300 for 2 (approx),Dharampeth, West Nagpur
811,Vidarbha Tadka,, North Indian,₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
812,Spice Magic,, North Indian,₹ 400 for 2 (approx) ,Gittikhadan, North Nagpur
813,Tauby's,," Desserts, Fast Food",₹ 500 for 2 (approx) ,Sadar, West Nagpur
814,The Biryani Destination,, Biryani,₹ 300 for 2 (approx) ,Vivekanand Nagar, South Nagpur
815,Dineout SteppinOut Cookbook,,,₹ 900 for 2 (approx),Subhash Nagar, Central Nagpur
816,Singh's,," North Indian, Chinese",₹ 700 for 2 (approx) ,Dhantoli, West Nagpur
