Unnamed: 0,Name,Rating,Cuisine,Avg Rate,Area,Zone
0,Moti Mahal Delux Restaurant,4.4," North Indian, Mughlai, Biryani",₹ 900 for 2 (approx) ,Sitabuldi, Central Nagpur
1,Corridor Seven Coffee Roaster,5.0," Desserts, Continental",₹ 800 for 2 (approx) ,Sitabuldi, Central Nagpur
2,Jagat Restaurant,5.0," North Indian, Chinese, Pizza, Street Food",₹ 600 for 2 (approx) ,Sitabuldi, Central Nagpur
5,Barbeque Nation,4.3," North Indian, Chinese","₹ 2,000 for 2 (approx) ","Eternity Mall,Sitabuldi", Central Nagpur
7,Robo 2.0,4.3," North Indian, Chinese",₹ 800 for 2 (approx) ,"Eternity Mall,Sitabuldi", Central Nagpur
8,High Steak,4.2," North Indian, Continental, Chinese","₹ 1,200 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
9,Hotel Brijinn,4.3," North Indian, Fast Food",₹ 600 for 2 (approx) ,Gandhibagh, East Nagpur
11,TAO - Asian Kitchen,5.0," Asian, Sushi","₹ 1,900 for 2 (approx) ",Civil Lines, West Nagpur
12,TDS Restro Lounge,4.2," North Indian, Chinese, Continental","₹ 2,100 for 2 (approx) ","Milestone Building,Ramdaspeth", West Nagpur
13,The Frontier Post,5.0," Mughlai, North Indian","₹ 1,600 for 2 (approx) ","Tuli International,Sadar", West Nagpur
14,The Treat,4.2," Chinese, North Indian",₹ 800 for 2 (approx) ,Gandhibagh, East Nagpur
16,Esco Cafe - Lounge & Bar,5.0," Continental, North Indian, Desserts",₹ 900 for 2 (approx) ,Sitabuldi, Central Nagpur
17,Dessertz & More,4.3," Desserts, Fast Food",₹ 500 for 2 (approx) ,Mohan Nagar, North Nagpur
20,Bougainvillea,4.6, North Indian,"₹ 1,200 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
21,Roast Cafe,4.8," North Indian, Chinese, Fast Food, Biryani",₹ 600 for 2 (approx) ,Sadar, West Nagpur
22,The Yellow Chilli,4.2," North Indian, Street Food","₹ 1,200 for 2 (approx) ",Untkhana, West Nagpur
24,Vyanjanam-The Taste Of India,4.2," Chinese, South Indian, North Indian",₹ 500 for 2 (approx) ,Ramdaspeth, West Nagpur
26,Food Links,4.3, Fast Food,₹ 500 for 2 (approx) ,"VCA Stadium Complex,Civil Lines", West Nagpur
27,Della Italia,4.6, Desserts,₹ 600 for 2 (approx) ,Civil Lines, West Nagpur
30,Freakk De Bistro,4.1," Fast Food, Finger Food","₹ 2,000 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
31,Orbiyo Natural Icecreams,4.1, Desserts,₹ 200 for 2 (approx) ,Sadar, West Nagpur
33,Meeting Point,4.4," North Indian, Chinese, Thai, Continental, Asian","₹ 1,300 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
36,Pablo - The Art Cafe' Lounge,4.5," North Indian, American, Italian, Continental","₹ 1,200 for 2 (approx) ",Civil Lines, West Nagpur
39,Tattwam,4.3," South Indian, North Indian",₹ 700 for 2 (approx) ,Ramdaspeth, West Nagpur
40,F&B studio,4.5," Fast Food, Chinese, Beverages",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
42,Drifters Tap Station,4.5," North Indian, Continental, Chinese, Italian","₹ 1,000 for 2 (approx) ",Ramdaspeth, West Nagpur
43,Tornados,4.2, Fast Food,₹ 300 for 2 (approx) ,Ramdaspeth, West Nagpur
44,Khichadiwala,4.4, Health Food,₹ 400 for 2 (approx) ,Ramdaspeth, West Nagpur
45,ABs - Absolute Barbecues,4.4," North Indian, Chinese","₹ 1,400 for 2 (approx) ",Dharampeth, West Nagpur
46,Hungama Street Cafe,4.2," Chinese, Fast Food",₹ 700 for 2 (approx) ,Dharampeth, West Nagpur
47,Three Beans,4.7," American, Italian, Continental, Desserts",₹ 600 for 2 (approx) ,Dharampeth, West Nagpur
49,Bighdey Nawab,4.4," Mughlai, North Indian","₹ 1,300 for 2 (approx) ",Nandanvan, East Nagpur
57,Step Inn,4.1," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Gokulpeth, West Nagpur
59,Shahi Haandi Kebab & Biryani,5.0," Mughlai, North Indian",₹ 500 for 2 (approx) ,Gokulpeth, West Nagpur
60,London Bubble Co,4.7, Desserts,₹ 600 for 2 (approx) ,Dharampeth, West Nagpur
63,Orbiyo Natural Icecreams,4.4, Desserts,₹ 200 for 2 (approx) ,Dharampeth, West Nagpur
64,Bouffage Cafe & Bistro,5.0," North Indian, Seafood, Italian, Chinese, Fast Food, Mughlai, Desserts","₹ 1,200 for 2 (approx) ",Dharampeth, West Nagpur
65,Greens Pure Veg Restaurant,5.0," North Indian, Continental, Chinese","₹ 1,000 for 2 (approx) ",Ravi Nagar, West Nagpur
67,Italy Via Punjab,4.4," North Indian, Italian, Biryani, Desserts",₹ 800 for 2 (approx) ,Dharampeth, West Nagpur
68,Yamazaki Pan-Asian Cuisine,5.0," Asian, Sushi, Chinese","₹ 1,000 for 2 (approx) ",Bajaj Nagar, West Nagpur
69,SSD's Swad Ghar Ka,4.3, North Indian,₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
70,Namaste Mexico,5.0," Mexican, Fast Food, Italian, Pizza",₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
71,The Chocolate Room,4.4," Italian, Fast Food, Pizza, Desserts, Beverages",₹ 600 for 2 (approx) ,Ravi Nagar, West Nagpur
72,The Next Chapter Cafe,4.5," Fast Food, Continental, North Indian, Beverages",₹ 900 for 2 (approx) ,Dharampeth, West Nagpur
73,Mustard Restro Lounge,4.4," North Indian, Chinese, Continental","₹ 1,700 for 2 (approx) ","Vijay Arcade,Dharampeth", West Nagpur
74,Kareem's,5.0," Mughlai, Chinese, North Indian","₹ 1,300 for 2 (approx) ",Sadar, West Nagpur
76,Toss - Cafe And Restro,4.2," Chinese, Fast Food, Italian, Beverages",₹ 800 for 2 (approx) ,Bajaj Nagar, West Nagpur
78,Brewin Cafe,4.8," Fast Food, Desserts, Beverages",₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
79,Salud Restro Lounge,4.5," North Indian, Chinese, Continental, Italian, Mexican","₹ 1,500 for 2 (approx) ",Bajaj Nagar, West Nagpur
80,Cafe Khoka,5.0," Fast Food, Beverages",₹ 500 for 2 (approx) ,Civil Lines, West Nagpur
82,Chaat Shaala,4.2," Fast Food, Street Food",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
83,Smokin Grills,4.5," Fast Food, Pizza",₹ 700 for 2 (approx) ,Bajaj Nagar, West Nagpur
86,The Waffle Boss Co.,4.4, Desserts,₹ 300 for 2 (approx) ,Bajaj Nagar, West Nagpur
87,Food Mohalla,5.0," Italian, Fast Food",₹ 600 for 2 (approx) ,Bajaj Nagar, West Nagpur
88,Deja Brew,4.1, North Indian,"₹ 1,500 for 2 (approx) ","Regenta Central Hotel & Convention Centre,Nandanvan", East Nagpur
94,Food Links,4.4, Fast Food,₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
98,Cake Links,4.5, Desserts,₹ 400 for 2 (approx) ,Nandanvan, East Nagpur
101,Orbiyo Natural Icecreams,4.4, Desserts,₹ 200 for 2 (approx) ,Nandanvan, East Nagpur
102,Two Joes,4.3," Chinese, North Indian, Fast Food, Mexican",₹ 700 for 2 (approx) ,Bajaj Nagar, West Nagpur
104,Hotel Maitreyee,5.0," Mughlai, North Indian, Beverages, Biryani",₹ 800 for 2 (approx) ,Gandhi Nagar, West Nagpur
105,Ruchkar Assal Maharashtrian Vyanjan,4.1," Maharashtrian, Chinese, North Indian",₹ 700 for 2 (approx) ,Bajaj Nagar, West Nagpur
107,Vintage Cafe,4.2, Fast Food,₹ 300 for 2 (approx) ,"Ganesh Tower,Ravi Nagar", West Nagpur
127,9 3/4 Central Perk Cafe,5.0, Fast Food,₹ 900 for 2 (approx) ,Dharampeth, West Nagpur
131,Ni Hao,4.7," Chinese, Asian","₹ 3,500 for 2 (approx) ","Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
132,Uncle John's Pizza,5.0," Pizza, Fast Food",₹ 500 for 2 (approx) ,Sadar, West Nagpur
133,The Creative Kitchen,4.4," Continental, North Indian, Chinese, Italian","₹ 2,500 for 2 (approx) ","Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
138,Cake Walk,4.5," Fast Food, Beverages, Desserts",₹ 700 for 2 (approx) ,"Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
139,DALI THE ART CAFE,4.6, Continental,"₹ 1,300 for 2 (approx) ",Wardha Road, South Nagpur
166,Khichadiwala,4.7, Health Food,₹ 400 for 2 (approx) ,Gayatri Nagar, South Nagpur
172,Treat At Street Cafe,4.3, Fast Food,₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
175,Ivory House Restaurant,5.0," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Pratap Nagar, South Nagpur
182,House Of Caffeine,4.1," Street Food, Chinese, Fast Food, Beverages",₹ 800 for 2 (approx) ,Bajaj Nagar, West Nagpur
185,DZO! Luxury Lounge and Pub,5.0," Finger Food, Fast Food","₹ 3,000 for 2 (approx) ",Pratap Nagar, South Nagpur
197,Veggietude,5.0," North Indian, Chinese",₹ 900 for 2 (approx) ,Pratap Nagar, South Nagpur
203,Food Links,4.4, Fast Food,₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
204,Casa Unplugged,5.0," Fast Food, Beverages",₹ 600 for 2 (approx) ,Hingna T Point, South Nagpur
205,Angels N Devils Restro,4.3," North Indian, Chinese, Fast Food","₹ 1,000 for 2 (approx) ",Hingna T Point, South Nagpur
206,Crostino,4.4," Fast Food, Beverages",₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
208,Bablu Da Dhaba,5.0," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Wardha Road, South Nagpur
209,Orbiyo Natural Icecreams,4.1, Desserts,₹ 200 for 2 (approx) ,"Balaji Arcade,Manish Nagar", South Nagpur
211,Golden Harvest,4.3," Chinese, North Indian","₹ 1,100 for 2 (approx) ",Wardha Road, South Nagpur
222,The Daawat Mahal,4.4," North Indian, Chinese",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
233,DABO Club And Kitchen,4.5," Continental, North Indian, Desserts, Beverages","₹ 2,200 for 2 (approx) ",Manish Nagar, South Nagpur
255,Tandoori Heights,4.5," North Indian, Mughlai","₹ 1,000 for 2 (approx) ","The Legend Inn,Wardha Road", South Nagpur
264,Food Beyond Fantasy,4.3," North Indian, Chinese, Fast Food","₹ 1,400 for 2 (approx) ",Vayu Sena, West Nagpur
296,The Gramophone,4.3," Chinese, North Indian, Continental","₹ 1,700 for 2 (approx) ","Hotel Heritage Embassy,Hingna T Point", South Nagpur
297,Oasis,4.2," Chinese, North Indian, Continental","₹ 1,000 for 2 (approx) ","Hotel Heritage Embassy,Hingna T Point", South Nagpur
318,House Of Caffeine,4.1," Fast Food, Pizza, Burger",₹ 600 for 2 (approx) ,Hingna T Point, South Nagpur
323,Rock Bottom,5.0," Chinese, North Indian, Continental","₹ 1,300 for 2 (approx) ",Hingna T Point, South Nagpur
329,Zero Degree Restaurant & Lounge,4.2," North Indian, Chinese, Continental, Finger Food, Desserts","₹ 1,400 for 2 (approx) ","Zero Degree,Hingna T Point", South Nagpur
331,The Latest Recipe,4.1," North Indian, Continental, Asian, Mughlai","₹ 1,100 for 2 (approx) ","Le Méridien Nagpur,Wardha Road", South Nagpur
336,The Divine Cafe And Restro,5.0," Fast Food, North Indian",₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
344,Spice and Symphony,5.0, North Indian,"₹ 1,000 for 2 (approx) ",Wadi, West Nagpur
349,Wonders Of World,4.2," Chinese, North Indian, Continental, Mughlai, Biryani, Beverages, Desserts","₹ 1,400 for 2 (approx) ",Vayu Sena, West Nagpur
353,Karhandla Farm and Resort,5.0," Mughlai, North Indian, Continental, Chinese","₹ 1,200 for 2 (approx) ",Nandanvan, East Nagpur
354,Falani Mastani,5.0, Desserts,₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
356,KFC,5.0," Burger, Fast Food",₹ 600 for 2 (approx) ,"Eternity Mall,Sitabuldi", Central Nagpur
357,Haldiram's,4.5," Rajasthani, South Indian, Chinese, Desserts",₹ 300 for 2 (approx) ,Sitabuldi, Central Nagpur
358,East India Company,5.0," Continental, Biryani, North Indian, Mughlai","₹ 1,100 for 2 (approx) ",Civil Lines, West Nagpur
359,Ice cube,5.0," North Indian, Chinese","₹ 1,200 for 2 (approx) ",Sadar, West Nagpur
360,Pizza Hut - 2251,5.0," Pizza, Fast Food",₹ 800 for 2 (approx) ,"Trilium Mall,Untkhana", West Nagpur
361,Muscleheadon The Health Cafe,4.3, Health Food,₹ 500 for 2 (approx) ,"Milestone Building,Ramdaspeth", West Nagpur
362,Agent Jack's,5.0, Italian,"₹ 1,500 for 2 (approx) ","Trilium Mall,Untkhana", West Nagpur
363,Uttar Dakshin By Naivedhyam,5.0," North Indian, South Indian, Beverages",₹ 700 for 2 (approx) ,Sadar, West Nagpur
364,Cafe Coffee Day,5.0," Beverages, Fast Food",₹ 800 for 2 (approx) ,Civil Lines, West Nagpur
365,Moti Mahal Restaurant,5.0," North Indian, Mughlai, Chinese, Desserts",₹ 800 for 2 (approx) ,Sadar, West Nagpur
366,Ashoka Restaurant & Bar,4.4," North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages","₹ 1,500 for 2 (approx) ",Sadar, West Nagpur
369,Haldiram's,5.0," North Indian, Continental, South Indian, Chinese, Desserts",₹ 500 for 2 (approx) ,Sadar, West Nagpur
370,The Other Side,4.1," Fast Food, Modern Indian, North Indian","₹ 1,500 for 2 (approx) ",Sadar, West Nagpur
375,Chai Pani Etc,5.0, Fast Food,₹ 300 for 2 (approx) ,Dharampeth, West Nagpur
382,Haldiram's,5.0," North Indian, Continental, South Indian, Chinese, Desserts",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
384,Nineties Cafe,5.0," Italian, Chinese",₹ 700 for 2 (approx) ,Dharampeth, West Nagpur
390,Hotspot,5.0, Fast Food,₹ 400 for 2 (approx) ,Nandanvan, East Nagpur
419,Cafe Coffee Day,5.0," Beverages, Fast Food",₹ 800 for 2 (approx) ,Wardhaman Nagar, East Nagpur
427,The Creative Kitchen - Radisson Blu Nagpur,5.0," North Indian, Continental","₹ 1,800 for 2 (approx) ","Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
430,Thanco's Natural Ice Cream,4.3, Desserts,₹ 200 for 2 (approx) ,Pratap Nagar, South Nagpur
435,We Cafe,5.0," Fast Food, Burger, Pizza",₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
479,Domino's Pizza,5.0," Pizza, Fast Food",₹ 500 for 2 (approx) ,Wardha Road, South Nagpur
522,Plated,5.0," North Indian, Chinese, Italian","₹ 1,300 for 2 (approx) ",Hingna T Point, South Nagpur
526,Domino's Pizza,5.0," Pizza, Fast Food",₹ 500 for 2 (approx) ,Mankapur, North Nagpur
536,Cafe Fidatoj,4.1," Fast Food, Italian, Chinese",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
546,Mocha Sky,4.3," Fast Food, North Indian","₹ 1,600 for 2 (approx) ",Wardha Road, South Nagpur
576,Sagar Restaurant,5.0," North Indian, Chinese, Seafood","₹ 1,100 for 2 (approx) ",Mankapur, North Nagpur
637,Haldiram's Express,5.0," North Indian, Continental, South Indian, Chinese, Desserts",₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
784,Hotel City Line,5.0," Chinese, North Indian","₹ 1,000 for 2 (approx) ",Gittikhadan, North Nagpur
793,Singh Saab,4.8," Chinese, North Indian","₹ 1,100 for 2 (approx) ",pachpaoli, East Nagpur
802,Kairos Restro,4.5," Chinese, North Indian","₹ 1,000 for 2 (approx) ",Vayu Sena, West Nagpur
803,Chokar Dhani,5.0, North Indian,₹ 600 for 2 (approx) ,Vayu Sena, West Nagpur
